,No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
251,252,EL,1.03,5.76,8.14%,-4.74%,-12.39%,-28.30%,16.51%,57.55,203.95,2.28%,0.65%,1.62%,5233445
252,253,ELS,0.69,1.27,5.73%,3.27%,3.75%,-11.09%,20.79%,65.07,68.7,0.94%,0.64%,0.29%,1457025
253,254,ELV,0.84,13.11,-3.40%,-4.52%,-8.19%,-19.35%,3.34%,42.68,443.21,-1.89%,-2.17%,0.29%,2485995
254,255,EMR,1.41,1.72,6.30%,4.98%,1.41%,-12.29%,20.72%,65.58,87.41,-0.70%,-1.29%,0.59%,5519605
255,256,ENB,0.85,0.64,1.47%,-2.24%,-4.15%,-17.10%,7.02%,49.73,37.48,0.62%,0.32%,0.30%,3618921
256,257,ENPH,1.46,7.34,4.54%,0.76%,-24.26%,-46.51%,19.49%,57.14,181.81,0.72%,-0.56%,1.29%,4622896
257,258,ENTG,1.24,3.62,1.00%,20.24%,30.07%,-6.95%,72.49%,58.22,106.51,-2.85%,-3.00%,0.16%,3172118
258,259,EOG,1.52,3.15,1.00%,-1.06%,-6.66%,-23.24%,27.23%,51.51,113.41,1.53%,0.40%,1.13%,6109452
259,260,EPAM,1.50,10.31,-7.50%,-14.34%,-31.38%,-52.59%,10.87%,39.54,219.51,-3.66%,-4.70%,1.09%,1465093
260,261,EPD,1.05,0.33,1.85%,0.98%,3.71%,-3.54%,15.24%,60.26,26.39,0.27%,0.00%,0.27%,3729158
261,262,EQIX,0.63,16.77,5.47%,7.27%,15.73%,-0.62%,57.33%,64.56,778.61,-0.13%,-0.79%,0.66%,904142
262,263,EQNR,1.01,0.85,8.62%,7.72%,-2.91%,-24.97%,19.42%,62.22,30.13,-2.02%,-1.25%,-0.78%,4548741
263,264,EQR,0.85,1.1,6.10%,7.43%,5.68%,-17.52%,22.20%,72.81,66.72,0.56%,0.30%,0.26%,3799493
264,265,EQT,1.19,1.26,7.10%,14.69%,7.82%,-23.73%,41.04%,67.89,39.64,1.77%,0.76%,1.00%,11567296
265,266,ERIC,0.6,0.09,3.95%,1.01%,-6.93%,-32.53%,6.47%,60.7,5.43,0.18%,-0.73%,0.92%,9769865
266,267,ERIE,0.45,4.82,-0.75%,-3.72%,-9.26%,-24.26%,27.83%,42.84,216.99,-0.33%,-1.13%,0.80%,180786
267,268,ES,0.49,1.44,1.88%,-4.02%,-8.92%,-23.65%,6.33%,50.3,72.08,1.51%,1.05%,0.45%,4268061
