,No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
176,177,CNQ,-2.43%,-1.82%,10.02%,-1.73%,-6.19%,-0.94%,2.35%,2.23%,2.0,2.12M,0.73,55.01,-1.06%,1546003
177,178,COF,-1.27%,16.24%,22.70%,13.94%,1.76%,18.41%,2.55%,2.82%,2.7,3.35M,1.28,110.07,-1.42%,4275906
178,179,COIN,4.34%,-8.93%,-25.86%,38.32%,1.05%,57.08%,5.55%,7.06%,2.0,15.58M,0.88,55.59,2.47%,13699144
179,180,COO,6.14%,-4.75%,7.59%,13.10%,16.51%,11.11%,2.11%,1.86%,2.4,300.73K,2.09,367.41,-0.04%,628289
180,181,COP,0.99%,4.18%,11.84%,-5.88%,-0.67%,-10.53%,2.27%,2.22%,2.1,6.30M,1.57,104.92,0.74%,9904786
181,182,COST,1.23%,5.79%,7.51%,8.30%,14.14%,14.71%,1.05%,1.65%,2.0,1.85M,1.7,523.65,-1.05%,3140937
182,183,COTY,5.33%,10.09%,14.44%,52.45%,70.64%,45.33%,2.78%,2.85%,2.4,5.10M,1.31,12.44,-0.08%,6694373
183,184,CP,2.72%,-4.71%,1.59%,0.15%,13.80%,5.27%,1.57%,2.11%,2.3,1.90M,0.96,78.52,0.11%,1816780
184,185,CPB,0.80%,-13.36%,-13.04%,-18.56%,2.45%,-18.20%,1.36%,1.85%,3.3,2.42M,1.52,46.42,-0.04%,3679510
185,186,CPNG,7.93%,7.73%,31.31%,-0.06%,47.82%,17.47%,2.93%,3.70%,2.2,7.28M,1.29,17.28,1.83%,9375071
186,187,CPRT,1.80%,6.44%,25.19%,39.72%,63.98%,43.34%,1.56%,1.96%,1.8,2.14M,1.95,87.28,0.20%,4188973
187,188,CPT,-0.11%,5.93%,11.20%,-3.14%,-10.70%,1.10%,1.61%,1.94%,2.4,789.81K,1.59,113.11,0.86%,1257790
188,189,CQP,6.37%,0.26%,9.73%,-18.62%,2.81%,-16.31%,2.50%,3.08%,3.5,179.87K,3.29,47.07,2.73%,592169
189,190,CRBG,2.59%,-0.86%,9.35%,-15.97%,-,-14.80%,2.89%,3.24%,1.9,2.52M,1.14,16.47,-1.44%,2869032
190,191,CRH,9.14%,6.96%,10.43%,30.73%,46.96%,33.55%,2.51%,1.67%,1.0,792.17K,2.2,53.14,0.78%,1746004
191,192,CRL,6.23%,6.71%,8.85%,-2.02%,-1.36%,-3.63%,2.67%,2.97%,1.7,530.71K,1.26,209.99,0.49%,667462
192,193,CRM,-1.65%,1.14%,14.56%,57.15%,25.64%,59.71%,3.09%,2.84%,2.1,6.54M,2.09,211.76,-0.08%,13661531
193,194,CRWD,3.75%,13.05%,16.54%,28.67%,-5.60%,47.35%,3.47%,4.17%,1.8,4.06M,1.56,155.14,-2.92%,6340498
194,195,CSCO,4.85%,9.32%,3.75%,5.62%,18.88%,9.30%,1.44%,1.66%,2.3,19.34M,1.92,52.07,0.27%,37112242
195,196,CSGP,4.99%,10.71%,25.71%,3.54%,49.32%,8.88%,2.05%,1.98%,1.8,1.84M,4.13,84.14,0.08%,7613417
196,197,CSL,2.97%,13.92%,9.79%,-3.91%,-3.62%,1.67%,2.17%,2.34%,1.7,431.06K,2.27,239.58,-0.37%,979992
197,198,CSX,2.79%,3.94%,14.87%,1.65%,12.88%,7.20%,2.05%,2.04%,2.1,12.71M,2.36,33.21,-1.04%,30031174
198,199,CTAS,2.28%,5.59%,13.55%,6.98%,38.47%,8.80%,1.33%,1.56%,2.3,344.87K,1.81,491.36,-0.21%,625449
199,200,CTRA,2.60%,2.31%,8.71%,3.60%,-13.48%,4.15%,2.56%,2.56%,2.6,7.79M,2.8,25.21,0.52%,21771520
200,201,CTSH,4.88%,3.70%,12.61%,11.76%,-4.98%,13.80%,1.91%,1.77%,3.10,3.57M,1.64,65.08,0.53%,5836794
201,202,CTVA,1.40%,2.27%,1.10%,-7.24%,3.06%,-2.64%,1.84%,2.02%,2.20,2.97M,3.4,57.23,-0.78%,10088758
202,203,CUK,22.59%,44.51%,82.78%,78.20%,58.00%,97.77%,5.17%,4.05%,-,1.91M,1.28,14.22,-1.46%,2442347
203,204,CVE,-4.26%,2.84%,7.21%,-9.90%,-22.17%,-14.22%,3.50%,2.98%,1.90,8.02M,0.96,16.65,-1.83%,7694540
204,205,CVS,-5.63%,-2.46%,-8.94%,-32.74%,-25.95%,-27.33%,2.68%,2.03%,2.20,8.52M,2.13,67.72,-2.56%,18190479
205,206,CVX,-1.01%,1.00%,3.23%,-8.74%,-4.26%,-12.39%,1.85%,1.82%,2.30,7.82M,2.92,157.26,-0.64%,22851275
206,207,CX,3.45%,8.60%,49.07%,72.25%,102.82%,77.78%,2.42%,3.08%,2.30,6.32M,1.13,7.2,-1.37%,7170956
207,208,CZR,0.70%,12.51%,13.08%,-1.71%,18.00%,17.40%,3.20%,3.89%,2.10,2.91M,1.3,48.84,-2.75%,3795437
208,209,D,0.45%,0.21%,-3.74%,-10.02%,-28.78%,-13.03%,1.63%,2.09%,2.70,3.87M,2.55,53.33,0.87%,9863989
209,210,DAL,8.94%,19.09%,29.82%,24.72%,33.89%,30.22%,2.37%,2.47%,1.60,10.64M,1.15,42.79,-0.21%,12204599
210,211,DAR,3.22%,3.14%,23.10%,4.90%,-10.44%,4.04%,3.13%,3.05%,1.70,1.39M,1.49,65.12,0.95%,2068010
211,212,DASH,2.06%,12.33%,22.84%,25.23%,15.15%,50.06%,2.92%,3.89%,2.50,3.50M,1.05,73.26,2.09%,3657957
212,213,DB,-1.79%,-1.70%,5.36%,-2.34%,4.30%,-9.55%,1.31%,1.35%,4.00,4.26M,0.86,10.42,-1.79%,3683169
213,214,DD,-0.37%,5.81%,2.75%,-0.33%,15.01%,1.14%,1.86%,1.96%,2.20,3.46M,2.28,69.41,-0.43%,7874417
214,215,DDOG,0.13%,4.90%,39.54%,18.97%,7.16%,30.27%,3.57%,4.13%,2.00,5.10M,0.85,95.75,-2.48%,4338584
215,216,DE,7.59%,10.75%,5.74%,-7.03%,23.31%,-4.93%,2.12%,2.59%,2.10,1.80M,1.17,407.63,0.27%,2118653
216,217,DECK,4.99%,9.00%,24.37%,31.46%,98.83%,28.45%,3.14%,3.36%,1.80,445.16K,1.1,512.72,0.14%,490384
217,218,DELL,4.33%,8.33%,33.45%,19.17%,3.67%,23.50%,1.72%,3.01%,2.20,4.58M,2.04,49.67,-1.06%,9351738
218,219,DEO,2.56%,-2.09%,0.93%,-8.15%,1.05%,-2.65%,1.12%,0.97%,2.10,343.03K,1.72,173.46,-0.25%,590539
219,220,DFS,1.03%,16.97%,25.02%,11.47%,21.80%,17.88%,2.15%,2.05%,2.40,2.09M,2.83,115.32,-1.65%,5916613
220,221,DG,7.36%,-24.04%,-21.31%,-33.60%,-29.25%,-33.27%,2.50%,2.81%,2.3,2.68M,1.79,164.32,0.39%,4779634
221,222,DGX,3.01%,4.88%,5.38%,-8.28%,7.63%,-11.40%,1.23%,1.64%,2.7,1.04M,2.57,138.6,1.02%,2672989
222,223,DHI,2.10%,3.66%,19.46%,33.18%,77.87%,30.58%,2.20%,2.15%,2.4,2.96M,2.13,116.4,0.86%,6316988
223,224,DHR,2.73%,7.35%,-0.48%,-11.83%,-1.28%,-8.90%,2.68%,2.14%,2.0,3.12M,2.05,241.8,-0.70%,6380330
224,225,DIS,-0.66%,-1.56%,-2.02%,-3.01%,-4.76%,5.11%,1.98%,1.86%,2.1,11.47M,1.97,91.32,-1.74%,22641615
225,226,DKNG,-1.72%,7.22%,37.16%,80.89%,100.41%,115.19%,3.58%,4.56%,2.3,11.58M,1.22,24.51,-1.29%,14098348
226,227,DKS,-0.46%,-0.27%,-6.61%,15.48%,80.83%,12.31%,1.80%,2.64%,2.3,1.51M,0.97,135.1,0.02%,1463642
227,228,DLR,0.89%,10.00%,4.45%,0.52%,-18.42%,4.90%,2.66%,3.59%,2.3,3.05M,1.5,105.18,-0.20%,4568562
228,229,DLTR,3.38%,-14.28%,-0.68%,-7.02%,-11.85%,-3.69%,1.85%,2.68%,2.5,2.23M,1.16,136.22,-1.60%,2591443
229,230,DOCU,-5.56%,2.98%,-7.98%,-9.57%,-10.95%,-2.83%,4.20%,4.56%,2.8,3.93M,1.46,53.85,-0.79%,5750262
230,231,DOV,4.67%,5.63%,8.17%,5.00%,19.08%,9.10%,1.68%,2.04%,2.3,838.99K,1.82,147.73,0.44%,1529268
231,232,DOW,2.74%,3.26%,6.28%,3.50%,-7.40%,5.50%,2.20%,2.16%,2.8,4.68M,2.04,53.16,-0.60%,9530598
232,233,DOX,3.48%,3.55%,7.25%,8.80%,23.47%,7.37%,1.30%,1.43%,2.0,628.76K,1.47,97.6,0.95%,926017
233,234,DPZ,11.19%,8.64%,6.68%,-9.63%,-14.01%,-4.33%,2.54%,2.28%,2.3,687.38K,3.0,331.41,1.83%,2064234
234,235,DRI,2.53%,4.61%,11.79%,15.32%,42.44%,20.01%,1.41%,1.61%,2.0,1.37M,1.41,166.01,-0.51%,1926328
235,236,DT,0.49%,8.80%,32.12%,25.48%,27.42%,33.71%,2.36%,2.97%,2.1,2.81M,1.28,51.21,-2.18%,3588547
236,237,DTE,2.41%,4.60%,6.61%,-5.37%,-4.27%,-2.90%,1.70%,1.65%,1.9,1.22M,4.01,114.12,0.18%,4874008
237,238,DUK,0.72%,-0.90%,-4.37%,-10.76%,-7.99%,-10.50%,1.40%,1.68%,2.4,3.02M,2.88,92.18,0.53%,8690182
238,239,DVN,0.90%,5.47%,9.03%,-17.60%,-22.53%,-17.05%,2.54%,2.64%,2.2,8.60M,1.89,49.8,0.40%,16246841
239,240,DXCM,4.63%,9.71%,14.19%,7.09%,81.93%,14.89%,2.78%,3.19%,1.5,2.31M,1.87,130.1,-0.67%,4306193
240,241,E,1.61%,-2.27%,10.19%,-1.25%,2.75%,-0.80%,1.55%,1.40%,2.3,313.57K,2.66,28.43,-0.56%,834863
241,242,EA,2.16%,2.99%,13.51%,3.21%,-0.46%,5.30%,1.24%,1.40%,2.2,2.09M,1.5,128.66,-0.26%,3122195
242,243,EBAY,-1.64%,2.69%,7.13%,2.99%,3.56%,8.66%,2.12%,2.12%,2.7,4.78M,1.8,45.06,-1.23%,8588093
243,244,EBR,2.04%,14.27%,30.46%,1.78%,-5.43%,1.01%,2.81%,2.76%,1.0,1.45M,2.1,8.01,-3.03%,3037527
244,245,EBR-B,0.00%,12.75%,41.84%,6.55%,9.95%,9.15%,3.45%,2.98%,1.0,27.04K,8.2,8.95,-5.29%,221753
245,246,EC,0.48%,10.58%,7.04%,15.45%,-23.52%,1.11%,2.39%,2.74%,2.7,2.08M,0.66,10.45,0.19%,1365594
246,247,ECL,2.57%,4.35%,17.76%,21.01%,21.33%,25.06%,1.71%,1.76%,2.5,1.06M,2.36,182.04,-0.10%,2509734
247,248,ED,-0.56%,-3.06%,-2.78%,-5.56%,5.35%,-2.46%,1.53%,1.62%,3.3,1.90M,2.46,92.97,-0.05%,4677104
248,249,EDR,0.00%,-3.46%,-2.87%,3.96%,9.62%,-0.93%,1.84%,2.00%,1.6,2.91M,0.8,22.33,-1.11%,2333094
249,250,EFX,2.65%,11.78%,14.38%,13.22%,28.84%,18.22%,2.61%,2.26%,2.4,708.42K,1.94,229.77,-1.13%,1373090
250,251,EIX,3.63%,0.63%,3.57%,3.74%,14.80%,10.31%,1.61%,2.02%,2.4,1.67M,2.25,70.18,2.01%,3756051
251,252,EL,15.53%,3.49%,-13.05%,-18.16%,-16.11%,-17.80%,2.70%,2.41%,2.2,2.13M,2.46,203.95,2.28%,5233445
252,253,ELS,5.59%,3.92%,5.84%,3.76%,-2.09%,6.35%,1.74%,1.99%,2.2,803.24K,1.81,68.7,0.94%,1457025
253,254,ELV,-5.73%,-3.60%,-4.31%,-14.79%,-4.25%,-13.60%,3.00%,2.40%,1.8,1.18M,2.11,443.21,-1.89%,2485995
254,255,EMR,3.81%,6.27%,8.13%,-10.55%,2.28%,-9.00%,1.99%,1.84%,2.1,3.29M,1.68,87.41,-0.70%,5519605
255,256,ENB,-1.21%,0.78%,2.52%,-5.62%,-12.18%,-4.14%,1.74%,1.50%,2.3,3.38M,1.07,37.48,0.62%,3618921
256,257,ENPH,4.14%,11.04%,-1.00%,-45.37%,-3.54%,-31.38%,4.25%,3.79%,2.1,3.90M,1.19,181.81,0.72%,4622896
257,258,ENTG,-2.36%,13.80%,30.43%,45.72%,4.68%,62.39%,2.78%,3.48%,2.2,1.63M,1.95,106.51,-2.85%,3172118
258,259,EOG,-2.44%,2.36%,10.37%,-9.11%,-8.01%,-11.63%,2.83%,2.45%,1.9,3.59M,1.7,113.41,1.53%,6109452
259,260,EPAM,3.87%,-5.76%,-21.54%,-38.14%,-24.25%,-33.02%,4.15%,3.87%,2.3,650.87K,2.25,219.51,-3.66%,1465093
260,261,EPD,1.46%,1.46%,5.27%,8.42%,3.65%,9.41%,1.26%,1.14%,1.8,4.44M,0.84,26.39,0.27%,3729158
261,262,EQIX,4.70%,6.93%,12.70%,10.69%,21.42%,18.87%,1.91%,2.39%,1.9,430.54K,2.1,778.61,-0.13%,904142
262,263,EQNR,3.15%,7.88%,13.60%,-15.20%,-10.54%,-12.17%,2.09%,2.06%,1.7,3.34M,1.36,30.13,-2.02%,4548741
263,264,EQR,0.82%,8.36%,15.87%,4.36%,-3.51%,13.08%,1.29%,1.71%,2.7,1.76M,2.16,66.72,0.56%,3799493
264,265,EQT,2.83%,13.88%,34.97%,4.84%,-3.88%,17.17%,2.42%,3.39%,2.2,6.44M,1.8,39.64,1.77%,11567296
265,266,ERIC,5.03%,3.23%,2.65%,-16.72%,-28.08%,-7.02%,1.67%,1.42%,3.2,9.08M,1.08,5.43,0.18%,9769865
266,267,ERIE,-0.55%,-5.00%,-5.34%,-19.93%,24.10%,-12.76%,1.46%,2.29%,2.0,94.26K,1.92,216.99,-0.33%,180786
267,268,ES,2.43%,-2.71%,-5.05%,-16.04%,-10.55%,-14.03%,1.40%,1.97%,2.3,1.92M,2.23,72.08,1.51%,4268061
268,269,ESS,1.12%,12.30%,14.35%,7.23%,-7.90%,11.80%,1.61%,2.00%,2.9,395.88K,1.84,236.92,0.90%,728773
269,270,ET,0.63%,2.31%,6.92%,8.74%,19.59%,8.00%,1.51%,1.56%,1.5,9.95M,0.93,12.82,-0.16%,9260684
270,271,ETN,2.11%,11.85%,19.43%,18.53%,45.99%,21.86%,2.64%,2.59%,2.2,2.12M,2.94,191.26,-2.86%,6246828
271,272,ETR,0.56%,-0.11%,-2.45%,-13.87%,-5.34%,-9.32%,1.26%,1.78%,2.2,1.21M,3.11,102.01,-0.18%,3772342
272,273,ETSY,3.68%,-0.41%,-10.20%,-28.35%,24.39%,-21.02%,3.81%,4.00%,2.5,3.30M,1.28,94.6,-1.43%,4232949
273,274,EVRG,-0.15%,-1.22%,-0.94%,-5.93%,-3.26%,-5.75%,1.34%,1.66%,2.6,1.20M,2.26,59.31,-0.50%,2716179
274,275,EW,9.32%,4.88%,13.87%,21.26%,3.56%,23.23%,2.48%,2.34%,2.4,2.76M,2.39,91.94,0.71%,6594329
275,276,EXAS,6.39%,18.81%,47.26%,105.14%,141.46%,88.69%,2.84%,3.27%,1.9,1.80M,1.26,93.42,0.03%,2269490
276,277,EXC,2.82%,4.97%,-2.21%,-3.76%,-2.48%,-4.67%,1.34%,1.64%,2.3,7.08M,1.35,41.21,0.96%,9590593
277,278,EXPD,3.05%,4.74%,11.65%,5.36%,21.32%,14.35%,1.92%,2.04%,3.3,1.23M,2.64,118.83,-0.37%,3246628
278,279,EXPE,-4.17%,11.18%,13.33%,14.10%,1.40%,20.86%,2.21%,3.21%,2.5,2.58M,1.47,105.87,-1.16%,3788663
279,280,EXR,0.54%,-2.63%,-8.93%,-6.88%,-10.04%,-1.29%,2.42%,2.23%,2.5,1.37M,1.15,145.28,-0.34%,1572912
280,281,F,4.95%,25.39%,27.61%,12.39%,23.47%,30.27%,2.38%,2.89%,2.70,64.60M,1.16,14.42,-0.21%,75215766
281,282,FANG,-2.68%,0.91%,4.59%,-4.48%,-8.54%,-4.44%,3.23%,2.53%,2.00,1.98M,2.04,128.74,1.64%,4052750
282,283,FAST,3.30%,4.35%,8.52%,14.12%,14.05%,19.57%,1.87%,1.91%,2.90,3.16M,2.07,56.58,0.60%,6521724
283,284,FCNCA,-0.15%,-2.71%,152.03%,72.26%,103.59%,69.18%,2.91%,2.77%,2.00,231.74K,0.79,1282.99,-1.21%,182279
284,285,FCNCO,-1.09%,-0.66%,12.88%,-1.91%,-8.00%,-0.27%,1.67%,1.97%,-,30.91K,0.27,20.3,-1.00%,8366
285,286,FCNCP,-0.70%,-3.19%,-0.30%,-1.60%,-9.24%,1.33%,1.14%,1.61%,-,42.16K,0.14,19.74,0.41%,6075
286,287,FCX,5.28%,11.36%,10.30%,1.52%,9.07%,5.34%,2.43%,2.43%,2.30,12.79M,1.26,39.89,-0.47%,16104764
287,288,FDS,5.87%,6.76%,3.72%,-6.32%,18.28%,4.91%,2.23%,1.94%,2.80,266.23K,1.93,420.91,-0.33%,512862
288,289,FDX,4.34%,3.35%,5.97%,31.11%,0.29%,34.79%,2.24%,1.83%,2.20,2.04M,1.59,233.46,-1.26%,3246718
289,290,FE,1.19%,1.93%,-1.78%,-7.72%,4.91%,-6.84%,1.29%,1.67%,2.40,4.02M,1.71,39.07,-0.10%,6885722
290,291,FERG,4.50%,2.96%,17.68%,14.82%,36.44%,18.98%,1.62%,1.94%,2.30,1.28M,1.65,151.07,-0.53%,2121886
291,292,FI,2.69%,0.23%,10.90%,17.71%,31.15%,18.69%,1.45%,1.75%,2.10,3.87M,1.66,119.96,-0.32%,6416508
292,293,FICO,3.26%,6.77%,22.14%,31.86%,102.11%,33.64%,2.22%,2.43%,2.30,285.93K,0.92,799.96,-0.27%,262831
293,294,FIS,0.22%,-2.14%,6.08%,-24.35%,-42.62%,-19.26%,2.10%,2.34%,2.20,5.65M,1.08,54.78,1.35%,6073957
294,295,FITB,0.49%,5.03%,6.37%,-17.81%,-23.58%,-19.11%,4.44%,3.61%,2.00,8.81M,1.27,26.54,-0.82%,11155224
295,296,FIVE,2.82%,-2.83%,-1.54%,6.29%,54.54%,7.67%,2.61%,3.29%,1.90,810.62K,0.66,190.43,-2.16%,534700
296,297,FLEX,1.67%,11.82%,29.14%,16.64%,69.32%,24.74%,1.75%,2.11%,1.80,4.44M,0.84,26.77,-0.30%,3750427
297,298,FLT,1.78%,4.96%,30.14%,27.62%,6.15%,32.64%,2.14%,2.20%,2.10,588.53K,1.14,243.63,-0.34%,672390
298,299,FMC,1.08%,-1.16%,-8.01%,-15.79%,-0.36%,-14.45%,1.98%,2.10%,2.20,931.52K,1.72,106.77,0.82%,1604693
299,300,FMS,3.11%,1.68%,21.24%,45.58%,-10.58%,44.25%,1.24%,1.21%,4.00,710.78K,2.62,23.57,0.00%,1865156
300,301,FMX,3.68%,10.82%,27.47%,42.62%,59.00%,42.33%,1.46%,1.95%,2.10,448.36K,0.63,111.19,0.66%,280850
301,302,FND,0.27%,5.35%,5.18%,21.11%,43.54%,38.25%,2.93%,3.31%,2.10,1.28M,0.69,96.26,-0.83%,885245
302,303,FNV,-0.05%,-5.13%,1.56%,1.34%,5.03%,6.78%,1.89%,2.02%,3.00,521.77K,2.51,145.74,0.57%,1308340
303,304,FOX,0.32%,8.88%,4.65%,5.81%,3.48%,10.72%,1.84%,1.80%,-,1.23M,1.41,31.5,-0.16%,1734483
304,305,FOXA,0.30%,7.20%,2.78%,5.79%,2.47%,10.77%,1.93%,1.86%,2.80,3.83M,2.68,33.64,-0.09%,10264521
305,306,FSLR,-1.57%,-9.90%,-5.33%,18.05%,195.16%,26.17%,3.57%,3.53%,2.40,2.49M,1.25,188.99,-2.02%,3105346
306,307,FTNT,7.01%,6.36%,18.88%,34.11%,31.13%,48.86%,2.91%,3.24%,2.00,4.73M,2.31,72.78,-1.10%,10912404
307,308,FTS,-0.35%,-1.65%,1.68%,4.15%,-6.40%,7.07%,1.01%,1.28%,3.00,593.48K,1.12,42.87,0.47%,663239
308,309,FTV,5.39%,10.31%,12.34%,7.42%,26.80%,11.78%,2.05%,2.05%,2.10,2.27M,1.62,71.82,-0.21%,3688131
309,310,FWONA,3.72%,6.00%,7.95%,30.13%,25.68%,31.61%,2.72%,2.45%,2.10,114.55K,2.45,70.32,-1.68%,280884
310,311,FWONK,3.24%,5.47%,8.99%,29.18%,27.72%,30.63%,2.82%,2.59%,2.00,811.22K,2.0,78.09,-2.34%,1625131
311,312,GD,2.39%,2.85%,-0.37%,-12.72%,-0.27%,-12.40%,1.23%,1.45%,2.00,1.23M,1.27,217.34,1.11%,1560349
312,313,GDDY,4.03%,3.60%,2.42%,-2.27%,9.53%,0.12%,2.15%,1.90%,2.00,1.28M,2.57,74.91,-1.41%,3275093
313,314,GE,-0.01%,2.73%,17.72%,67.19%,97.12%,62.56%,1.91%,2.04%,2.00,5.93M,1.79,106.29,0.83%,10619041
314,315,GEHC,2.01%,-2.05%,3.71%,-,-,34.72%,1.82%,2.45%,2.50,2.71M,1.99,78.65,-0.57%,5384994
315,316,GEN,4.55%,16.15%,14.15%,-18.96%,-15.32%,-13.07%,2.73%,2.51%,2.60,4.66M,2.18,18.63,-1.17%,10172338
316,317,GFI,-3.29%,-3.17%,29.70%,39.22%,58.85%,44.73%,2.99%,2.84%,2.70,5.74M,6.6,14.98,-0.93%,37900230
317,318,GFL,0.05%,-0.24%,13.69%,28.51%,39.73%,27.54%,2.34%,2.19%,1.80,1.08M,0.65,37.28,-0.48%,696328
318,319,GFS,5.10%,12.06%,-6.02%,-4.64%,26.28%,15.90%,2.88%,3.20%,1.90,1.40M,1.89,62.46,-0.76%,2639601
319,320,GGG,4.32%,11.27%,28.06%,25.48%,46.71%,28.04%,1.87%,1.95%,2.60,916.68K,1.91,86.12,0.84%,1752900
320,321,GIB,0.67%,0.54%,14.92%,19.62%,37.44%,21.42%,1.13%,1.35%,1.9,151.19K,1.23,104.58,-0.56%,185572
321,322,GILD,0.95%,0.06%,2.00%,-10.79%,35.06%,-8.14%,1.66%,1.88%,2.5,5.53M,2.53,78.86,-0.18%,13975915
322,323,GIS,-1.93%,-10.17%,1.15%,-7.58%,21.66%,-3.74%,1.32%,1.67%,3.0,3.17M,1.69,80.71,0.00%,5344518
323,324,GL,0.07%,0.07%,2.82%,-8.53%,15.82%,-10.40%,1.77%,1.51%,2.7,549.86K,1.6,108.01,-0.29%,877458
324,325,GLPI,0.08%,1.53%,0.06%,-4.77%,11.97%,-3.90%,1.48%,1.51%,2.1,1.08M,1.57,49.83,-0.24%,1686676
325,326,GLW,9.37%,16.32%,9.23%,6.29%,9.50%,12.24%,1.94%,2.07%,1.9,4.57M,4.65,35.85,5.94%,21244427
326,327,GM,4.78%,17.02%,13.72%,-1.04%,11.06%,12.84%,2.30%,2.82%,2.2,14.51M,1.0,37.96,-0.18%,14509190
327,328,GMAB,0.68%,-6.35%,8.15%,-15.44%,40.07%,-8.52%,1.50%,1.52%,2.6,390.16K,1.54,38.77,0.05%,600709
328,329,GOLD,-1.71%,-9.33%,-7.78%,-3.91%,-13.73%,-2.74%,2.01%,2.09%,2.2,15.82M,1.34,16.71,1.33%,21130784
329,330,GOOG,0.97%,2.12%,21.08%,30.16%,12.38%,39.82%,2.11%,2.30%,1.5,27.30M,2.07,124.06,-1.38%,56622622
330,331,GOOGL,1.06%,2.23%,21.56%,29.94%,12.54%,40.01%,2.10%,2.34%,1.8,35.03M,1.27,123.53,-1.25%,44465949
331,332,GPC,3.63%,-2.94%,-0.37%,-9.83%,21.94%,-6.94%,1.59%,1.75%,2.6,1.05M,1.32,161.47,-0.11%,1381324
332,333,GPN,0.59%,-2.99%,2.16%,3.02%,-10.78%,1.37%,2.26%,2.52%,2.0,2.33M,1.61,100.68,-1.25%,3751644
333,334,GRAB,-0.58%,6.21%,19.58%,3.32%,36.80%,6.21%,4.04%,5.75%,1.9,17.10M,1.39,3.42,-0.58%,23693368
334,335,GRMN,0.63%,2.96%,10.39%,10.66%,9.30%,14.86%,1.55%,1.47%,2.6,742.65K,1.86,106.0,-0.14%,1380234
335,336,GS,0.68%,2.46%,11.45%,-6.12%,16.63%,-1.48%,1.94%,1.92%,2.3,2.23M,2.01,338.31,-0.42%,4481390
336,337,GSK,1.12%,-2.74%,3.17%,-2.14%,-17.69%,0.03%,1.30%,1.24%,2.8,2.82M,2.11,35.15,-0.34%,5945434
337,338,GWW,3.67%,9.11%,10.39%,27.15%,54.83%,31.67%,2.54%,2.01%,2.6,279.77K,1.5,732.43,-1.54%,419238
338,339,H,-2.11%,0.43%,6.62%,13.60%,38.11%,25.12%,2.46%,2.68%,2.5,829.35K,0.84,113.17,0.40%,694206
339,340,HAL,0.74%,12.58%,8.78%,-10.86%,-8.51%,-17.20%,3.21%,3.40%,1.8,10.07M,1.03,32.58,-0.40%,10388206
340,341,HBAN,-0.27%,8.76%,5.61%,-21.61%,-12.92%,-22.55%,4.19%,3.52%,2.70,18.75M,1.37,10.92,0.28%,25608002
341,342,HBANL,-0.56%,3.80%,19.00%,-,-,-1.27%,0.92%,1.29%,-,186.64K,0.12,24.86,0.12%,22085
342,343,HBANP,1.46%,5.94%,20.05%,2.97%,0.20%,10.50%,3.04%,3.49%,-,76.31K,0.53,18.74,-1.11%,40466
343,344,HCA,6.73%,5.31%,15.73%,18.55%,59.66%,20.89%,2.22%,2.02%,1.80,1.24M,2.39,290.08,1.47%,2962332
344,345,HD,1.02%,2.73%,4.16%,-9.91%,7.38%,-4.90%,1.81%,2.05%,2.30,4.35M,2.48,300.38,-0.54%,10795560
345,346,HDB,1.22%,-0.67%,5.23%,-4.06%,25.76%,-2.87%,1.93%,1.41%,1.50,1.59M,1.78,66.45,2.86%,2832053
346,347,HEI,1.39%,-6.61%,1.55%,5.93%,23.67%,7.97%,1.34%,2.42%,2.30,341.10K,0.82,165.89,-0.23%,278943
347,348,HEI-A,1.40%,-5.34%,2.12%,7.41%,21.98%,10.59%,1.21%,2.51%,-,193.78K,1.87,132.54,-0.15%,361767
348,349,HES,-0.61%,2.55%,14.56%,-0.44%,15.71%,-4.41%,2.71%,2.59%,2.30,1.64M,1.56,135.56,-0.18%,2568214
349,350,HIG,0.79%,2.26%,9.37%,-4.43%,7.24%,-5.21%,1.54%,1.72%,2.10,2.08M,1.26,71.88,1.15%,2607683
350,351,HLN,3.31%,-2.77%,6.85%,7.26%,-,5.25%,1.07%,1.26%,-,4.30M,0.49,8.42,0.96%,2096395
351,352,HLT,-0.51%,-2.35%,3.13%,3.50%,15.52%,11.44%,1.72%,2.13%,2.40,1.66M,1.61,140.81,0.10%,2668234
352,353,HMC,1.89%,10.99%,25.63%,30.12%,25.68%,37.01%,0.93%,0.97%,1.70,1.08M,2.4,31.32,-2.13%,2601854
353,354,HOLX,4.42%,0.21%,5.36%,7.00%,18.85%,8.54%,2.24%,1.58%,2.40,1.37M,3.02,81.2,0.20%,4133676
354,355,HON,2.57%,3.55%,9.93%,-5.47%,9.73%,-5.29%,1.73%,1.69%,2.30,2.47M,2.02,202.97,-0.37%,5002796
355,356,HPE,11.27%,22.78%,24.61%,8.46%,24.88%,10.09%,3.16%,2.87%,2.60,13.19M,1.86,17.57,0.69%,24479472
356,357,HPQ,4.03%,2.41%,10.56%,9.31%,-9.91%,15.37%,1.76%,2.46%,2.90,7.22M,1.93,31.0,-0.32%,13959223
357,358,HRL,0.98%,4.88%,7.61%,-11.27%,-8.06%,-9.40%,1.03%,1.54%,3.40,2.35M,1.42,41.27,-0.07%,3332910
