,No.,Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume
691,692,TEAM,46.82B,256.82M,143.44M,0.60%,-58.27%,82.60%,-4.49%,3.83%,2.68,2.05M,177.8,-2.41%,2681970
692,693,TECH,12.06B,157.31M,155.74M,0.80%,-0.03%,97.90%,2.02%,1.95%,2.93,1.04M,78.49,2.45%,2738282
693,694,TECK,22.47B,514.10M,503.95M,1.40%,0.00%,73.50%,-1.05%,2.42%,2.33,5.24M,41.96,-3.05%,5793344
694,695,TEF,23.00B,5.68B,5.29B,5.60%,0.00%,1.20%,-4.20%,0.05%,3.1,901.41K,3.86,-3.26%,8259581
695,696,TEL,42.05B,316.00M,312.26M,0.20%,-5.26%,95.50%,-4.18%,1.20%,2.6,1.45M,135.65,1.66%,3289220
696,697,TER,17.07B,155.90M,154.85M,0.30%,-19.29%,104.37%,-1.36%,2.61%,2.49,1.62M,111.06,0.88%,3380416
697,698,TFC,42.91B,1.33B,1.32B,0.10%,-1.26%,75.30%,-0.14%,2.52%,2.11,15.80M,31.9,-0.99%,21743230
698,699,TFII,12.04B,86.58M,77.17M,10.95%,0.00%,67.78%,-,1.10%,3.64,232.90K,106.25,0.09%,497704
699,700,TFX,11.69B,46.95M,46.81M,0.22%,-15.91%,97.20%,-10.15%,3.38%,5.37,294.87K,252.4,1.45%,443037
700,701,TGT,63.62B,460.90M,459.38M,0.20%,-7.01%,81.90%,1.83%,2.10%,2.0,4.83M,133.81,-2.92%,9828359
701,702,TJX,93.64B,1.15B,1.15B,0.10%,-2.23%,94.80%,0.62%,0.69%,1.67,4.72M,81.26,-0.27%,8389040
702,703,TLK,26.32B,990.62M,990.62M,-,-,3.72%,-,0.14%,6.99,193.17K,26.71,-1.37%,191206
703,704,TM,270.25B,1.36B,1.36B,8.50%,0.00%,1.30%,-1.76%,0.07%,3.21,283.38K,164.35,-2.28%,420417
704,705,TME,14.29B,1.56B,883.60M,-,-,47.60%,-1.58%,2.25%,2.93,6.79M,8.03,-3.60%,12469524
705,706,TMO,206.40B,386.00M,384.43M,0.10%,-20.52%,91.00%,0.05%,0.81%,2.12,1.46M,537.3,0.41%,3423931
706,707,TMUS,159.30B,1.22B,589.74M,0.30%,-10.95%,42.60%,-1.01%,4.94%,4.46,6.54M,130.93,-1.38%,13010625
707,708,TOST,12.22B,524.10M,342.47M,2.30%,-30.85%,79.10%,5.82%,5.70%,3.13,6.23M,21.71,-5.73%,10594518
708,709,TPL,10.47B,7.69M,7.64M,0.81%,1.54%,59.40%,2.07%,3.68%,7.0,40.17K,1358.6,-0.26%,61981
709,710,TPR,10.07B,234.60M,229.48M,0.50%,0.00%,96.70%,3.67%,3.88%,2.74,3.24M,43.37,-0.16%,3637112
710,711,TRGP,16.25B,226.40M,222.93M,0.70%,-7.26%,90.80%,1.38%,1.28%,1.72,1.65M,71.79,-0.17%,2758195
711,712,TRI,60.44B,473.27M,155.40M,55.00%,0.00%,38.10%,-1.71%,2.03%,7.83,402.05K,129.79,1.10%,477517
712,713,TRMB,13.11B,247.20M,245.71M,0.20%,-1.96%,95.70%,-0.82%,0.91%,1.89,1.18M,52.67,-0.47%,1927766
713,714,TROW,25.76B,224.40M,219.11M,0.80%,-1.53%,79.40%,1.55%,8.63%,13.15,1.44M,114.18,-0.44%,2841191
714,715,TRP,41.93B,1.02B,1.01B,0.06%,0.00%,60.20%,5.19%,2.81%,16.66,1.70M,40.59,-1.53%,3513223
715,716,TRU,14.70B,193.00M,192.10M,0.20%,-15.63%,98.70%,-10.06%,4.12%,4.72,1.68M,75.47,-0.80%,2190130
716,717,TRV,40.65B,231.70M,230.20M,0.20%,-37.78%,85.10%,-0.71%,1.25%,2.15,1.34M,176.75,0.44%,2317854
717,718,TS,16.65B,590.27M,590.27M,60.60%,0.00%,12.70%,1.26%,1.36%,3.33,2.42M,28.25,-0.88%,2825215
718,719,TSCO,24.18B,110.05M,108.77M,0.10%,-41.26%,88.70%,2.08%,5.78%,5.36,1.17M,218.93,-0.80%,1558121
719,720,TSLA,811.08B,3.17B,2.64B,0.10%,-6.69%,44.80%,2.03%,3.45%,0.68,133.83M,260.54,1.81%,167208920
720,721,TSM,498.66B,5.19B,4.86B,-,-,17.50%,0.97%,0.52%,2.09,12.00M,104.57,-0.58%,11421795
721,722,TSN,17.86B,354.00M,283.29M,1.20%,1.15%,86.30%,-0.77%,3.10%,2.37,3.71M,50.39,0.36%,4114947
722,723,TT,42.25B,229.30M,227.99M,0.10%,-20.55%,88.40%,1.05%,1.33%,1.84,1.64M,187.06,0.98%,2099893
723,724,TTC,10.15B,104.65M,103.86M,0.40%,-25.35%,88.50%,-0.64%,1.68%,3.53,495.01K,97.43,-0.27%,1315737
724,725,TTD,37.77B,489.71M,441.17M,0.20%,-63.55%,77.20%,-0.25%,3.43%,4.17,3.63M,76.43,-1.09%,2921283
725,726,TTE,146.97B,2.46B,2.43B,8.30%,0.00%,7.00%,-5.15%,0.11%,1.77,1.50M,58.04,-1.17%,1517747
726,727,TTWO,23.23B,168.00M,164.85M,0.10%,-49.22%,92.50%,2.01%,3.63%,3.55,1.69M,138.64,1.05%,2375485
727,728,TU,27.43B,1.44B,1.41B,0.20%,0.00%,57.23%,-,0.82%,8.33,1.39M,19.5,1.30%,2264683
728,729,TW,15.07B,208.10M,114.58M,0.20%,-56.92%,97.80%,-4.11%,2.85%,3.56,918.57K,70.79,-0.59%,1337179
729,730,TWLO,12.52B,186.40M,173.28M,0.40%,7.12%,85.20%,1.49%,4.12%,1.52,4.71M,67.65,-0.62%,3283058
730,731,TXN,161.64B,907.00M,905.72M,0.21%,-0.21%,86.70%,-1.35%,2.04%,3.71,4.98M,176.76,-0.75%,10168802
731,732,TXT,13.40B,204.84M,200.71M,0.45%,-23.88%,86.80%,-13.51%,2.71%,4.07,1.34M,66.64,0.32%,2970835
732,733,TYL,16.54B,41.83M,41.18M,0.30%,-43.20%,93.00%,1.20%,2.21%,3.74,243.29K,393.8,-0.20%,776887
733,734,U,15.78B,375.91M,323.20M,1.90%,-7.78%,57.30%,-0.36%,6.39%,2.0,10.33M,42.56,2.14%,32789081
734,735,UAL,17.57B,327.40M,325.89M,0.30%,-2.28%,60.70%,-5.73%,6.52%,2.96,7.17M,53.5,-0.15%,6804471
735,736,UBER,87.75B,2.01B,1.99B,0.10%,10.31%,73.90%,1.25%,2.31%,1.98,23.20M,43.52,0.37%,27938167
736,737,UBS,70.87B,3.07B,3.04B,0.08%,0.00%,56.39%,-,0.64%,3.83,5.09M,20.41,-0.05%,2524973
737,738,UDR,14.16B,328.79M,323.63M,0.30%,0.00%,101.52%,-2.28%,1.88%,2.7,2.26M,43.42,0.91%,3777969
738,739,UHS,10.38B,70.53M,61.83M,1.70%,-6.13%,102.54%,-3.07%,3.37%,3.29,634.37K,148.62,0.55%,1485098
739,740,UI,11.30B,60.44M,4.14M,93.13%,0.00%,3.90%,-9.97%,5.71%,3.44,68.71K,186.3,-0.40%,150837
740,741,UL,128.12B,2.52B,2.52B,2.90%,0.00%,10.90%,6.62%,0.09%,1.06,2.10M,51.93,1.07%,2911364
741,742,ULTA,22.47B,50.15M,49.36M,0.10%,-13.38%,96.80%,1.42%,4.91%,2.63,923.32K,447.91,-0.72%,1864711
742,743,UMC,22.17B,2.47B,2.25B,-,-,5.40%,5.19%,2.40%,8.17,6.60M,8.75,-1.91%,9943340
743,744,UNH,433.76B,933.00M,929.88M,0.10%,-1.01%,89.70%,-0.68%,0.59%,1.69,3.27M,458.49,-1.59%,7653910
744,745,UNP,125.55B,610.60M,607.80M,0.10%,-0.41%,80.60%,-1.11%,0.68%,1.45,2.85M,204.67,-0.61%,4136995
745,746,UPS,153.74B,862.00M,720.52M,-,-,72.50%,-0.45%,1.54%,3.21,3.46M,178.58,-0.23%,8463807
746,747,URI,28.18B,69.41M,68.36M,0.20%,-18.34%,93.90%,-0.66%,4.07%,2.68,1.04M,403.09,-1.68%,1132909
747,748,USB,51.03B,1.53B,1.53B,0.15%,3.47%,74.10%,-0.67%,2.51%,1.98,19.36M,33.45,0.48%,30107769
748,749,UTHR,10.76B,46.30M,44.76M,0.20%,-89.92%,98.92%,1.04%,2.32%,2.36,440.33K,230.26,0.29%,658765
749,750,V,463.46B,2.06B,1.61B,0.12%,-11.69%,98.90%,0.71%,1.95%,4.65,6.76M,228.91,1.21%,13291117
750,751,VALE,65.64B,4.45B,3.93B,38.50%,0.00%,21.40%,-4.15%,1.17%,1.96,23.51M,14.44,-0.21%,20756653
751,752,VEEV,32.26B,159.85M,139.50M,0.10%,-94.80%,93.10%,-1.07%,1.89%,2.58,1.02M,200.05,-0.63%,1509124
752,753,VICI,32.68B,1.00B,993.63M,0.42%,0.00%,98.60%,-4.50%,2.23%,4.39,5.04M,32.34,-0.61%,7535957
753,754,VIPS,10.32B,579.65M,476.81M,1.74%,0.00%,72.00%,-0.76%,2.72%,2.33,5.58M,17.79,-2.95%,6414563
754,755,VIV,15.25B,1.66B,428.32M,88.00%,0.00%,7.40%,-3.95%,0.93%,2.21,1.81M,8.99,-2.07%,4340727
755,756,VLO,41.22B,369.00M,359.46M,0.20%,0.00%,82.50%,-1.46%,2.94%,2.25,4.70M,114.21,0.16%,9936576
756,757,VMC,27.80B,133.20M,132.62M,0.17%,-3.30%,92.20%,0.45%,1.07%,1.79,788.35K,207.31,-0.78%,1258642
757,758,VMW,61.27B,428.19M,227.28M,0.20%,-4.66%,49.10%,1.47%,1.19%,1.87,1.44M,141.36,-0.72%,3006736
758,759,VOD,25.24B,2.73B,2.17B,0.20%,0.00%,9.50%,0.19%,0.21%,0.81,5.50M,9.47,-0.11%,4151841
759,760,VRSK,32.51B,152.03M,143.34M,0.30%,-6.34%,93.80%,-3.42%,6.43%,9.07,1.02M,224.52,-0.02%,4246538
760,761,VRSN,23.39B,104.90M,103.22M,1.10%,-12.37%,95.50%,-2.14%,0.81%,1.71,488.02K,223.69,-0.45%,1050686
761,762,VRTX,89.91B,257.40M,256.21M,0.10%,-36.16%,95.70%,1.21%,1.20%,2.55,1.20M,347.89,-0.34%,2613300
762,763,VTR,18.45B,399.99M,397.86M,0.54%,-1.57%,95.10%,-0.58%,1.94%,3.17,2.43M,46.08,-0.11%,2974702
763,764,VTRS,11.92B,1.20B,1.19B,0.28%,-0.35%,77.10%,2.18%,2.06%,2.59,9.48M,10.29,3.52%,23640566
764,765,VZ,153.19B,4.21B,4.20B,0.03%,-2.63%,63.80%,-1.63%,1.20%,2.53,19.91M,36.46,0.05%,36072184
765,766,WAB,18.39B,179.90M,174.07M,0.50%,-9.33%,94.70%,-0.09%,1.11%,2.02,957.28K,103.64,1.37%,2174887
766,767,WAT,15.83B,59.02M,58.60M,0.10%,5.73%,91.40%,-0.12%,4.03%,4.62,512.33K,269.2,0.41%,1648333
767,768,WBA,27.63B,862.60M,714.48M,0.30%,0.40%,59.80%,-0.07%,4.76%,4.77,7.13M,32.67,2.03%,16013422
768,769,WBD,31.99B,2.43B,1.87B,0.60%,0.10%,56.30%,-0.00%,4.93%,4.61,19.97M,12.8,-2.51%,46108592
769,770,WCN,35.39B,257.37M,256.52M,1.00%,-0.41%,70.30%,3.25%,0.96%,2.9,849.69K,137.54,0.08%,934625
770,771,WDAY,58.41B,258.82M,199.74M,0.90%,-12.67%,89.00%,-0.26%,2.42%,2.33,2.07M,222.4,-0.85%,3312226
771,772,WDC,13.14B,319.00M,316.77M,0.70%,0.00%,89.60%,2.89%,2.33%,1.89,3.90M,40.47,-1.48%,5538206
772,773,WDS,46.58B,1.90B,1.90B,-,-,1.88%,-,0.06%,2.44,488.37K,24.73,2.91%,1078992
773,774,WEC,28.89B,315.40M,315.03M,0.14%,-0.34%,76.50%,-0.09%,1.24%,2.75,1.43M,91.43,-0.16%,1965530
774,775,WELL,39.84B,492.06M,472.18M,0.06%,0.00%,99.92%,0.96%,2.94%,5.98,2.32M,80.41,0.32%,11636337
775,776,WES,10.43B,384.47M,380.77M,0.10%,0.00%,92.30%,-3.92%,1.46%,6.48,860.00K,27.15,0.11%,2806118
776,777,WFC,158.94B,3.79B,3.75B,0.09%,-0.98%,74.60%,1.30%,0.96%,1.5,24.01M,42.18,-0.42%,36399112
777,778,WIT,26.02B,5.48B,5.48B,79.00%,0.00%,2.20%,4.03%,0.30%,8.69,1.90M,4.67,-0.64%,3247138
778,779,WLK,14.77B,127.55M,32.36M,0.10%,0.00%,28.10%,-2.48%,7.14%,4.71,490.33K,114.7,-0.85%,676610
779,780,WM,66.80B,407.40M,405.67M,0.10%,-8.37%,87.80%,5.35%,1.15%,2.89,1.62M,165.03,0.51%,2417208
780,781,WMB,37.24B,1.22B,1.14B,0.35%,-0.05%,88.10%,0.89%,1.79%,3.0,6.84M,30.53,-0.13%,14128112
781,782,WMG,13.86B,515.91M,114.33M,0.30%,-3.16%,89.40%,0.80%,2.24%,1.51,1.70M,27.16,1.12%,2024042
782,783,WMT,424.74B,2.69B,1.38B,0.90%,-74.62%,32.90%,-0.54%,1.05%,2.31,6.31M,155.53,-1.39%,11531691
783,784,WPC,15.03B,211.95M,205.92M,0.60%,0.06%,65.20%,4.97%,2.82%,5.58,1.04M,70.34,0.13%,1728071
784,785,WPM,20.22B,452.37M,450.01M,0.20%,0.00%,64.10%,1.07%,2.81%,6.08,2.08M,44.87,0.43%,3414523
785,786,WPP,11.84B,214.97M,212.83M,2.80%,0.00%,3.90%,0.92%,0.06%,1.4,90.40K,56.31,0.88%,345666
786,787,WRB,15.23B,274.98M,202.26M,5.70%,0.00%,71.00%,1.05%,1.75%,1.97,1.80M,59.28,1.51%,3783795
787,788,WSO,16.21B,36.19M,33.17M,0.75%,-1.20%,106.24%,2.12%,12.17%,11.0,366.93K,366.58,-0.17%,461141
788,789,WST,26.71B,74.50M,73.57M,0.20%,-43.31%,95.50%,-1.63%,1.17%,2.04,420.83K,362.04,0.62%,1129299
789,790,WTRG,11.01B,264.19M,261.88M,0.10%,15.67%,78.00%,0.42%,1.18%,2.79,1.11M,41.43,-0.50%,2128171
790,791,WTW,24.76B,107.00M,105.76M,0.30%,-6.78%,98.40%,-0.47%,0.86%,1.84,492.56K,235.0,1.00%,1719948
791,792,WY,22.53B,733.16M,725.47M,0.10%,-1.26%,85.20%,0.18%,1.29%,2.35,3.99M,31.0,0.78%,15280621
792,793,WYNN,11.90B,112.75M,96.11M,0.30%,-9.63%,66.40%,-0.76%,6.38%,2.51,2.45M,103.73,-0.80%,2265369
793,794,XEL,35.40B,551.00M,546.12M,0.10%,-7.72%,79.90%,0.35%,1.12%,1.98,3.09M,63.92,-0.62%,6368672
794,795,XM,10.95B,599.31M,153.40M,18.40%,-3.36%,78.50%,0.14%,1.90%,0.79,3.70M,18.07,0.11%,4475947
795,796,XOM,428.11B,4.10B,4.02B,0.10%,-0.12%,59.80%,0.68%,0.86%,2.15,15.99M,105.13,-0.72%,43103014
796,797,XP,12.25B,536.10M,420.51M,19.35%,0.00%,63.10%,-1.58%,5.01%,3.41,6.18M,22.13,1.24%,4860742
797,798,XPEV,10.01B,861.04M,670.16M,1.29%,0.00%,33.10%,-1.04%,6.32%,3.13,13.53M,11.38,-1.81%,17459063
798,799,XYL,27.13B,180.40M,178.75M,0.10%,-23.71%,91.70%,0.64%,4.63%,3.69,2.25M,113.44,0.09%,3473229
799,800,YPF,10.74B,391.49M,387.46M,99.50%,0.00%,50.80%,3.53%,1.15%,2.41,1.84M,14.55,8.18%,4696623
800,801,YUM,38.99B,281.00M,277.20M,0.10%,-11.83%,80.10%,-7.97%,1.83%,3.14,1.61M,138.58,-0.45%,3747820
801,802,YUMC,24.70B,418.00M,403.57M,0.19%,-75.71%,84.90%,0.23%,2.02%,5.0,1.63M,59.4,0.44%,2503321
802,803,Z,10.87B,170.62M,153.56M,9.67%,-0.66%,104.06%,-,13.61%,8.8,2.38M,46.68,-3.07%,10275926
803,804,ZBH,29.74B,209.40M,208.34M,0.10%,-9.78%,92.10%,-0.06%,1.44%,2.17,1.38M,144.1,1.07%,2812522
804,805,ZBRA,14.63B,51.42M,51.34M,0.60%,-0.51%,91.00%,0.26%,1.92%,3.05,322.57K,282.4,-0.76%,636690
805,806,ZG,11.21B,234.43M,213.09M,3.49%,-1.72%,85.90%,-0.40%,0.54%,2.92,396.30K,45.76,-2.95%,432473
806,807,ZI,11.43B,403.41M,295.74M,1.50%,-33.19%,90.10%,-3.39%,3.02%,1.96,4.55M,26.82,-5.56%,58345498
807,808,ZM,20.81B,295.41M,214.78M,9.34%,-0.55%,64.30%,-0.55%,7.72%,3.96,4.19M,70.06,0.17%,4728349
808,809,ZS,23.10B,145.35M,86.47M,1.00%,-2.55%,49.60%,5.60%,8.28%,2.35,3.05M,154.01,-2.73%,3207002
809,810,ZTO,22.85B,808.87M,391.01M,0.79%,0.00%,31.60%,3.52%,4.01%,5.69,2.76M,27.46,-1.79%,5890676
810,811,ZTS,79.22B,463.50M,461.18M,0.20%,-3.17%,94.50%,0.02%,0.78%,1.86,1.94M,170.74,-0.40%,3285481
